time,device_temperature,device_humidity,climate_temperature,climate_humidity
2024-07-13T16:00:00.000+08:00,23.73,42.27,31.9,62.0
2024-07-13T19:00:00.000+08:00,24.5,45.19,,
2024-07-13T20:00:00.000+08:00,,,,
2024-07-13T21:00:00.000+08:00,25.01,45.48,,
2024-07-13T22:00:00.000+08:00,,,,
2024-07-13T23:00:00.000+08:00,,,,
2024-07-14T00:00:00.000+08:00,,,,
2024-07-14T08:00:00.000+08:00,21.42,32.56,27.98,80.0
2024-07-14T09:00:00.000+08:00,24.92,45.06,28.17,79.15
2024-07-14T10:00:00.000+08:00,25.0,44.81,29.68,69.2
2024-07-14T11:00:00.000+08:00,24.82,45.44,30.02,67.25
2024-07-14T12:00:00.000+08:00,25.13,44.66,30.91,59.25
2024-07-14T13:00:00.000+08:00,20.41,40.31,31.19,56.75
2024-07-14T14:00:00.000+08:00,24.86,45.25,30.87,57.45
2024-07-14T15:00:00.000+08:00,25.01,44.99,30.77,55.45
2024-07-14T16:00:00.000+08:00,25.11,44.73,31.11,58.35
2024-07-14T17:00:00.000+08:00,25.07,45.1,30.76,60.7
2024-07-14T18:00:00.000+08:00,24.92,44.97,29.82,70.3
2024-07-14T19:00:00.000+08:00,25.11,43.02,29.19,68.29
2024-07-14T20:00:00.000+08:00,24.86,45.29,28.89,67.6
2024-07-14T21:00:00.000+08:00,25.01,44.31,28.89,70.25
2024-07-14T21:00:00.000+08:00,25.01,44.31,28.89,70.25
2024-07-14T22:00:00.000+08:00,25.18,44.89,28.85,74.6
2024-07-14T23:00:00.000+08:00,24.93,45.07,27.91,78.0
2024-07-15T00:00:00.000+08:00,24.98,45.34,27.73,78.67
2024-07-15T08:00:00.000+08:00,24.95,44.71,28.11,78.0
2024-07-15T09:00:00.000+08:00,25.08,44.74,29.7,72.2
2024-07-15T10:00:00.000+08:00,24.85,45.16,30.28,70.8
2024-07-15T11:00:00.000+08:00,25.11,45.04,30.83,66.85
2024-07-15T12:00:00.000+08:00,25.04,45.03,30.95,66.35
2024-07-15T13:00:00.000+08:00,25.17,44.84,31.77,61.8
2024-07-15T14:00:00.000+08:00,25.14,45.45,31.96,60.65
2024-07-15T15:00:00.000+08:00,24.87,44.92,31.8,60.7
2024-07-15T16:00:00.000+08:00,24.79,45.23,31.89,57.35
2024-07-15T17:00:00.000+08:00,25.15,45.59,31.29,58.25
2024-07-15T18:00:00.000+08:00,25.04,44.23,30.49,61.1
2024-07-15T19:00:00.000+08:00,25.21,44.72,29.8,64.5
2024-07-15T20:00:00.000+08:00,25.1,45.27,29.22,70.8
2024-07-15T21:00:00.000+08:00,24.96,44.58,28.88,74.8
2024-07-15T22:00:00.000+08:00,24.89,45.46,28.88,74.15
2024-07-15T23:00:00.000+08:00,25.16,44.76,28.88,73.6
2024-07-16T00:00:00.000+08:00,24.98,44.85,28.88,76.43
2024-07-16T08:00:00.000+08:00,24.94,46.48,28.92,77.0
2024-07-16T09:00:00.000+08:00,20.71,45.0,29.52,74.2
2024-07-16T10:00:00.000+08:00,25.11,45.73,29.61,72.0
2024-07-16T11:00:00.000+08:00,24.98,45.06,30.33,69.6
2024-07-16T11:00:00.000+08:00,24.98,45.06,30.33,69.6
2024-07-16T12:00:00.000+08:00,24.86,45.18,30.86,68.4
2024-07-16T13:00:00.000+08:00,24.96,45.0,31.0,65.5
2024-07-16T14:00:00.000+08:00,24.93,45.22,31.84,59.6
2024-07-16T15:00:00.000+08:00,25.08,45.26,31.17,60.4
2024-07-16T16:00:00.000+08:00,25.06,45.08,30.9,59.35
